remote,station,boroname,neighborhood,postal,latitude,longitude
R088,CORTLANDT STREET,Manhattan,Lower Manhattan,10280,40.710662,-74.011052
R089,JAY ST-METROTECH,Brooklyn,Northwest Brooklyn,11201,40.692182,-73.985935
R091,36TH AVENUE & 31ST STREET,Queens,Northwest Queens,11106,40.756977,-73.929373
R093,30TH AVENUE & 31ST STREET,Queens,Northwest Queens,11102,40.766843,-73.921423
R094,ASTORIA BLVD & 31ST STREET,Queens,Northwest Queens,11103,40.770426,-73.917614
R095,DITMARS BLVD & 31ST STREET,Queens,Northwest Queens,11105,40.774984,-73.912067
R096,82ND STREET-JACKSON HEIGHTS,Queens,West Queens,11372,40.747647,-73.883786
R097,JUNCTION BLVD-ROOSEVELT AVE,Queens,West Queens,11373,40.749143,-73.869452
R098,CHURCH AVENUE,Brooklyn,Flatbush,11226,40.650494,-73.962836
R099,DEKALB AVENUE,Brooklyn,Northwest Brooklyn,11201,40.690612,-73.981848
R100,METROPOLITAN AVENUE,Queens,West Central Queens,11379,40.711353,-73.88958
R101,145TH STREET,Manhattan,Inwood and Washington Heights,10031,40.824787,-73.944232
R102,125TH STREET,Manhattan,Central Harlem,10027,40.811056,-73.952386
R103,BROADWAY-EAST NEW YORK,Brooklyn,Central Brooklyn,11233,40.678848,-73.904139
R105,14TH STREET & 7TH AVENUE,Manhattan,Chelsea and Clinton,10011,40.738007,-73.998381
R106,CASTLE HILL AVENUE,Bronx,Southeast Bronx,10462,40.834255,-73.851222
R107,WESTCHESTER SQUARE,Bronx,Southeast Bronx,10461,40.839892,-73.842952
R108,BOROUGH HALL - COURT STREET,Brooklyn,Northwest Brooklyn,11201,40.692404,-73.990151
R109,CHURCH AVENUE & NOSTRAND AV,Brooklyn,Flatbush,11226,40.650843,-73.949575
R110,FLATBUSH AVE & NOSTRAND AV,Brooklyn,Flatbush,11210,40.632836,-73.947642
R111,23RD STREET & 8TH AVENUE,Manhattan,Chelsea and Clinton,10011,40.745924,-73.998005
R112,FORDHAM RD/GRAND CONCOURSE,Bronx,Bronx Park and Fordham,10468,40.862803,-73.901034
R113,SEVENTH AVENUE & WEST 53RD,Manhattan,Chelsea and Clinton,10019,40.762877,-73.98159
R114,PARSONS BLVD & HILLSIDE AV,Queens,Jamaica,11432,40.707564,-73.803326
R115,169TH STREET & HILLSIDE AVE,Queens,Jamaica,11432,40.710459,-73.7936
R116,50TH STREET & 7TH AVENUE,Manhattan,Chelsea and Clinton,10019,40.761675,-73.983908
R117,242ND STREET & BROADWAY,Bronx,Kingsbridge and Riverdale,10471,40.889185,-73.898549
R118,CANAL STREET,Manhattan,Greenwich Village and Soho,10013,40.718233,-74.000323
R119,FORDHAM ROAD & JEROME AVE,Bronx,Bronx Park and Fordham,10468,40.862941,-73.901199
R120,MORRISON AVE & WESTCHESTER,Bronx,Southeast Bronx,10472,40.829495,-73.874559
R121,QUEENSBORO PLAZA,Queens,Northwest Queens,11101,40.750508,-73.940177
R122,90TH STREET/ELMHURST AVENUE,Queens,West Queens,11372,40.748541,-73.876791
R123,FRANKLIN AVE/EASTERN PKWY,Brooklyn,Flatbush,11225,40.670711,-73.958051
R124,KINGSTON AVE/EASTERN PKWY,Brooklyn,Central Brooklyn,11213,40.669409,-73.942173
R125,BROAD STREET & WALL STREET,Manhattan,Lower Manhattan,10005,40.706539,-74.011052
R126,175TH STREET/FT WASHINGTON,Manhattan,Inwood and Washington Heights,10033,40.847369,-73.939683
R127,JAY ST-METROTECH,Brooklyn,Northwest Brooklyn,11201,40.692338,-73.987342
R128,SUTPHIN BLVD-HILLSIDE AVE,Queens,Jamaica,11435,40.705416,-73.810562
R129,BERGEN STREET-SMITH STREET,Brooklyn,Northwest Brooklyn,11201,40.686154,-73.990881
R130,KINGS HIGHWAY-MCDONALD AVE,Brooklyn,Southern Brooklyn,11223,40.603234,-73.972342
R131,23RD STREET-PARK AVE SOUTH,Manhattan,Gramercy Park and Murray Hill,10010,40.740088,-73.986429
