"REMOTE","STATION","date","weeknumber","Total_2020","Total_2019"
"R097","JUNCTION BLVD-ROOSEVELT AVE   ",2020-01-04,"01",108834,102898
"R098","CHURCH AVENUE                 ",2020-01-04,"01",65316,65044
"R099","DEKALB AVENUE                 ",2020-01-04,"01",80911,77968
"R100","METROPOLITAN AVENUE           ",2020-01-04,"01",12178,8081
"R101","145TH STREET                  ",2020-01-04,"01",92028,90129
"R102","125TH STREET                  ",2020-01-04,"01",115658,113002
"R103","BROADWAY-EAST NEW YORK        ",2020-01-04,"01",32784,32234
"R104","167TH ST-GRAND CONCOURSE      ",2020-01-04,"01",43250,
"R105","14TH STREET & 7TH AVENUE      ",2020-01-04,"01",87412,86673
"R106","CASTLE HILL AVENUE            ",2020-01-04,"01",25936,26341
"R107","WESTCHESTER SQUARE            ",2020-01-04,"01",19913,19438
"R108","BOROUGH HALL - COURT STREET   ",2020-01-04,"01",97398,100151
"R109","CHURCH AVENUE & NOSTRAND AV   ",2020-01-04,"01",38204,38099
"R110","FLATBUSH AVE & NOSTRAND AV    ",2020-01-04,"01",61970,61547
"R111","23RD STREET & 8TH AVENUE      ",2020-01-04,"01",66834,71175
"R112","FORDHAM RD/GRAND CONCOURSE    ",2020-01-04,"01",51892,47533
"R113","SEVENTH AVENUE & WEST 53RD    ",2020-01-04,"01",80278,62320
"R114","PARSONS BLVD & HILLSIDE AV    ",2020-01-04,"01",26067,26419
"R115","169TH STREET & HILLSIDE AVE   ",2020-01-04,"01",33717,34058
"R116","50TH STREET & 7TH AVENUE      ",2020-01-04,"01",131374,132372
"R117","242ND STREET & BROADWAY       ",2020-01-04,"01",21761,26327
"R118","CANAL STREET                  ",2020-01-04,"01",57705,62167
"R119","FORDHAM ROAD & JEROME AVE     ",2020-01-04,"01",40745,44311
"R120","MORRISON AVE & WESTCHESTER    ",2020-01-04,"01",26961,27081
"R121","QUEENSBORO PLAZA              ",2020-01-04,"01",60248,63136
"R122","90TH STREET/ELMHURST AVENUE   ",2020-01-04,"01",85397,82574
"R123","FRANKLIN AVE/EASTERN PKWY     ",2020-01-04,"01",50842,46239
"R124","KINGSTON AVE/EASTERN PKWY     ",2020-01-04,"01",24486,20900
"R125","BROAD STREET & WALL STREET    ",2020-01-04,"01",18711,21563
"R126","175TH STREET/FT WASHINGTON    ",2020-01-04,"01",59960,51254
"R127","JAY ST-METROTECH              ",2020-01-04,"01",110357,112306
"R128","SUTPHIN BLVD-HILLSIDE AVE     ",2020-01-04,"01",19141,19357
"R129","BERGEN STREET-SMITH STREET    ",2020-01-04,"01",41353,38795
"R130","KINGS HIGHWAY-MCDONALD AVE    ",2020-01-04,"01",16162,16384
"R131","23RD STREET-PARK AVE SOUTH    ",2020-01-04,"01",72292,86869
"R132","125TH STREET-LEXINGTON AVE    ",2020-01-04,"01",102619,99545
"R133","MOSHOLU PARKWAY-JEROME AVE    ",2020-01-04,"01",32594,33485
"R134","HUNTERS PT AVE-49TH AVE       ",2020-01-04,"01",18587,16714
"R135","NEWKIRK AVE-NOSTRAND AVE      ",2020-01-04,"01",29220,29510
"R136","SHEEPSHEAD BAY ROAD           ",2020-01-04,"01",55286,55172
"R137","MYRTLE AVE-GATES AVENUE       ",2020-01-04,"01",75158,87959
"R138","WEST 4TH ST-WASHINGTON SQ     ",2020-01-04,"01",176566,157084
"R139","CANAL STREET-LISPENARD ST     ",2020-01-04,"01",70704,66808
"R140","QUEENS PLAZA-JACKSON AVE      ",2020-01-04,"01",48683,46453
"R141","71ST AVE-CONTINENTAL AVE      ",2020-01-04,"01",102204,100867
"R142","ESSEX ST-DELANCEY ST          ",2020-01-04,"01",114966,99610
"R143","28TH STREET-PARK AVE SOUTH    ",2020-01-04,"01",69837,
"R144","96TH STREET-LEXINGTON AVE     ",2020-01-04,"01",56934,55024
"R145","241ST ST-WHITE PLAINS RD      ",2020-01-04,"01",19406,19797
"R146","HUNTS PT AVE-SOUTHERN BLVD    ",2020-01-04,"01",39993,38295
"R147","61ST STREET-ROOSEVELT AVE     ",2020-01-04,"01",79701,75786
"R148","PARKSIDE AVE-OCEAN AVE        ",2020-01-04,"01",26903,27000
