"REMOTE","STATION","date","weeknumber","Total_2020","Total_2019"
"R398","NEW UTRECHT AVENUE-62ND ST    ",2020-03-21,"12",24451,25820
"R399","25TH AVENUE-86TH STREET       ",2020-03-21,"12",23639,28507
"R400","BAY 50TH STREET-STILLWELL     ",2020-03-21,"12",14003,15726
"R401","CENTRAL AVE-MYRTLE AVE        ",2020-03-21,"12",27518,29166
"R402","SENECA AVENUE-PALMETTO ST     ",2020-03-21,"12",20656,22020
"R403","FOREST AVENUE-PUTNAM AVENUE   ",2020-03-21,"12",24260,25239
"R404","FRESH POND ROAD-68TH AVENUE   ",2020-03-21,"12",32444,33473
"R405","JACKSON AVENUE-WESTCHESTER    ",2020-03-21,"12",25836,30661
"R406","PROSPECT AVENUE-WESTCHESTER   ",2020-03-21,"12",36087,39701
"R407","INTERVALE 163RD STREET        ",2020-03-21,"12",15819,18047
"R408","SIMPSON ST-WESTCHESTER AVE    ",2020-03-21,"12",38495,43994
"R409","FREEMAN ST-SOUTHERN BLVD      ",2020-03-21,"12",22460,26102
"R411","PARK PLACE-FRANKLIN AVENUE    ",2020-03-21,"12",8617,10422
"R412","BOTANIC GARDEN-FRANKLIN AVE   ",2020-03-21,"12",7775,9034
"R413","KNICKERBOCKER AVE-MYRTLE AV   ",2020-03-21,"12",29060,31532
"R414","HOWARD BEACH-159TH AVE        ",2020-03-21,"12",11197,14636
"R415","BROAD CHANNEL-NOEL ROAD       ",2020-03-21,"12",1413,1762
"R416","HOLLAND-BEACH 90TH STREET     ",2020-03-21,"12",3628,4125
"R417","PLAYLAND-BEACH 98TH STREET    ",2020-03-21,"12",2264,2527
"R418","SEASIDE BEACH-105TH STREET    ",2020-03-21,"12",1089,1259
"R419","ROCKAWAY PARK-BEACH 116TH     ",2020-03-21,"12",3031,3402
"R420","DITMAS AVE-MCDONALD AVE       ",2020-03-21,"12",21403,19308
"R421","AVENUE I-MCDONALD AVENUE      ",2020-03-21,"12",10585,8985
"R422","MCDONALD AVE-22ND AVE         ",2020-03-21,"12",5130,3995
"R423","AVENUE N-MCDONALD AVENUE      ",2020-03-21,"12",15634,13772
"R424","AVENUE P-MCDONALD AVENUE      ",2020-03-21,"12",13632,12053
"R425","AVENUE U-MCDONALD AVENUE      ",2020-03-21,"12",9506,8071
"R426","NEPTUNE AVE-MCDONALD AVENUE   ",2020-03-21,"12",7881,7508
"R427","MIDDLETOWN ROAD-WESTCHESTER   ",2020-03-21,"12",10405,12067
"R428","BUHRE AVE-WESTCHESTER AVE     ",2020-03-21,"12",18424,20962
"R429","PELHAM BAY PARK-BRUCKNER BL   ",2020-03-21,"12",26548,29505
"R430","PELHAM PKWY-ESPLANADE         ",2020-03-21,"12",15346,16979
"R431","DYRE AVENUE-LIGHT STREET      ",2020-03-21,"12",20826,22589
"R432","CHAUNCEY STREET-ROCKAWAY AV   ",2020-03-21,"12",18991,20725
"R433","ALABAMA AVENUE-FULTON ST      ",2020-03-21,"12",9657,9775
"R434","VAN SICLEN AVENUE-FULTON ST   ",2020-03-21,"12",15311,15373
"R435","CLEVELAND STREET-FULTON ST    ",2020-03-21,"12",17099,17916
"R436","NORWOOD AVENUE-FULTON ST      ",2020-03-21,"12",17730,18521
"R437","CRESCENT STREET-FULTON ST     ",2020-03-21,"12",25676,29577
"R438","RALPH AVENUE-FULTON STREET    ",2020-03-21,"12",28117,34193
"R439","ROCKAWAY AVE-HOPKINSON AVE    ",2020-03-21,"12",28280,33802
"R440","LIBERTY AVE-PENNSYLVANIA AV   ",2020-03-21,"12",12881,14720
"R441","VAN SICLEN AVE-PITKIN AVE     ",2020-03-21,"12",15229,17788
"R442","SHEPHERD AVE-PITKIN AVE       ",2020-03-21,"12",16503,18686
"R443","170TH STREET-GRAND CONC.      ",2020-03-21,"12",35464,40531
"R444","238TH ST-WHITE PLAINS ROAD    ",2020-03-21,"12",15439,17499
"R445","138TH STREET-3RD AVE          ",2020-03-21,"12",43392,46384
"R446","BROOK AVENUE-138TH STREET     ",2020-03-21,"12",32407,36298
"R447","CYPRESS AVENUE-138TH STREET   ",2020-03-21,"12",17638,20165
"R448","EAST 143RD ST-SOUTHERN BLVD   ",2020-03-21,"12",6232,6055
"R449","EAST 149TH ST-SOUTHERN BLVD   ",2020-03-21,"12",29029,27887
"R450","LONGWOOD AVE-SOUTHERN BLVD    ",2020-03-21,"12",7585,18691
"R451","WINTHROP ST-NOSTRAND AVE      ",2020-03-21,"12",36123,40546
"R452","72ND STREET & BROADWAY        ",2020-03-21,"12",180090,252191
"R453","23RD STREET-6TH AVENUE        ",2020-03-21,"12",61229,74731
"R455","25TH STREET-4TH AVENUE        ",2020-03-21,"12",4282,4545
"R456","HOYT STREET-FULTON STREET     ",2020-03-21,"12",15387,17065
"R460","MARCY AVENUE-BROADWAY         ",2020-03-21,"12",75029,99293
"R461","BROADWAY LAFAYETTE-BLEECKER   ",2020-03-21,"12",102498,129706
"R462","CANAL STREET-BROADWAY         ",2020-03-21,"12",66344,98271
"R463","CANAL ST-LAFAYETTE ST EAST    ",2020-03-21,"12",81450,125255
"R464","AQUEDUCT RACE TRACK           ",2020-03-21,"12",7035,11720
"R468","RI TRAMWAY (MANHATTAN)        ",2020-03-21,"12",18793,12673
"R469","RI TRAMWAY (ROOSEVELT)        ",2020-03-21,"12",22646,6930
"R535","AIRTRAIN @ HOWARD BEACH       ",2020-03-21,"12",26339,42707
"R536","AIRTRAIN JAMAICA CENTER 1     ",2020-03-21,"12",97211,123834
"R540","PA-PATH WORLD TRADE CNTR      ",2020-03-21,"12",88813,116671
"R541","PA-PATH THIRTY THIRD ST       ",2020-03-21,"12",62097,79298
"R542","PA-PATH TWENTY THIRD ST       ",2020-03-21,"12",16018,19834
"R543","PA-PATH EXCHANGE PLACE        ",2020-03-21,"12",23089,33898
"R544","PA-PATH HARRISON              ",2020-03-21,"12",16957,16773
"R545","PA-PATH 14TH STREET           ",2020-03-21,"12",19070,24377
"R546","PA-PATH PAVONIA/NEWPORT       ",2020-03-21,"12",21702,34289
"R547","PA-PATH 9TH STREET            ",2020-03-21,"12",10609,14000
"R548","PA-PATH CHRISTOPHER ST        ",2020-03-21,"12",11098,14426
"R549","PA-PATH NEWARK                ",2020-03-21,"12",55334,66054
"R550","PA-PATH HOBOKEN               ",2020-03-21,"12",49021,67255
"R551","PA-PATH GROVE ST              ",2020-03-21,"12",32837,42865
"R552","PA-PATH JOURNAL SQUARE        ",2020-03-21,"12",45082,51967
"R555","SBS-M15 @ LIVINGSTON PLAZA    ",2020-03-21,"12",318,299
"R556","SBS-BX12 @ LIVINGSTON PLAZA   ",2020-03-21,"12",3018,3581
"R557","SBS-M34 @ LIVINGSTON PLAZA    ",2020-03-21,"12",82,105
"R558","SBS-BX41 @ LIVINGSTON PLAZA   ",2020-03-21,"12",798,859
"R559","SBS-B44 @ LIVINGSTON PLAZA    ",2020-03-21,"12",509,620
"R560","SBS-M60 @ LIVINGSTON PLAZA    ",2020-03-21,"12",343,399
"R561","SBS-M86 @ LIVINGSTON PLAZA    ",2020-03-21,"12",211,223
"R562","MTABC - EASTCHESTER 2         ",2020-03-21,"12",352,356
"R563","SBS-B46 @ LIVINGSTON PLAZA    ",2020-03-21,"12",721,1046
"R564","SBS-Q44 @ LIVINGSTON PLAZA    ",2020-03-21,"12",747,844
"R567","SBS-M23 @ LIVINGSTON PLAZA    ",2020-03-21,"12",119,147
"R568","SBS-M79 @ LIVINGSTON PLAZA    ",2020-03-21,"12",111,79
"R569","SBS-BX6 @ LIVINGSTON PLAZA    ",2020-03-21,"12",477,455
"R570","72ND STREET - 2 AVENUE        ",2020-03-21,"12",147239,187569
"R571","86TH STREET - 2 AVENUE        ",2020-03-21,"12",122938,163454
"R572","96TH STREET - 2 AVENUE        ",2020-03-21,"12",91670,117203
"R573","SBS-Q52/53 @ LIVINGSTON PLAZA ",2020-03-21,"12",871,928
"R574","SBS-B82 @ LIVINGSTON PLAZA    ",2020-03-21,"12",625,683
"R575","SBS-M14 @ LIVINGSTON PLAZA    ",2020-03-21,"12",582,
"R001","WHITEHALL STREET              ",2020-03-28,"13",37437,158139
"R003","CYPRESS HILLS                 ",2020-03-28,"13",4511,7334
"R004","75TH STREET & ELDERTS LANE    ",2020-03-28,"13",11119,17769
"R005","85TH STREET & FOREST PKWAY    ",2020-03-28,"13",12022,18018
"R006","WOODHAVEN BOULEVARD           ",2020-03-28,"13",13259,20944
"R007","104TH STREET                  ",2020-03-28,"13",7999,15756
"R008","111TH STREET                  ",2020-03-28,"13",6264,
"R009","121ST STREET                  ",2020-03-28,"13",6764,11089
"R010","42ND STREET & 8TH AVENUE      ",2020-03-28,"13",42150,212506
"R011","42ND STREET & 8TH AVENUE      ",2020-03-28,"13",113205,416167
"R012","34TH STREET & 8TH AVENUE      ",2020-03-28,"13",59358,362329
"R013","34TH STREET & 8TH AVENUE      ",2020-03-28,"13",19337,117115
"R014","FULTON STREET                 ",2020-03-28,"13",76960,356287
"R015","FIFTH AVENUE                  ",2020-03-28,"13",19169,143997
"R016","LEXINGTON AVENUE              ",2020-03-28,"13",9768,40934
"R017","LEXINGTON AVENUE              ",2020-03-28,"13",38719,202916
"R018","ROOSEVELT AVE/JACKSON HTS     ",2020-03-28,"13",139027,300692
"R019","179TH STREET & HILLSIDE AVE   ",2020-03-28,"13",41161,89704
"R020","47-50 STREETS/ROCKEFELLER     ",2020-03-28,"13",76414,347251
"R021","42ND STREET & 6TH AVENUE      ",2020-03-28,"13",61201,242818
"R022","34TH STREET & 6TH AVENUE      ",2020-03-28,"13",105061,435493
"R023","34TH STREET & 6TH AVENUE      ",2020-03-28,"13",74639,320801
"R024","SUTPHIN BOULEVARD             ",2020-03-28,"13",59157,122600
"R025","JAMAICA CENTER-PARSONS BLVD   ",2020-03-28,"13",78256,146961
"R027","WALL STREET                   ",2020-03-28,"13",26285,134832
"R028","FULTON & WILLIAM STREETS      ",2020-03-28,"13",43701,159400
"R029","PARK PLACE                    ",2020-03-28,"13",52214,277636
"R030","CHAMBERS STREET               ",2020-03-28,"13",21910,123174
"R031","34TH STREET & 7TH AVENUE      ",2020-03-28,"13",43034,210015
"R032","42ND STREET/TIMES SQUARE      ",2020-03-28,"13",58918,233661
"R033","42ND STREET/TIMES SQUARE      ",2020-03-28,"13",76039,367004
"R034","125TH STREET & BROADWAY       ",2020-03-28,"13",15684,44260
"R035","168TH STREET & BROADWAY       ",2020-03-28,"13",54665,114825
"R036","DYCKMAN STREET                ",2020-03-28,"13",21810,42463
"R037","207TH STREET                  ",2020-03-28,"13",16903,33469
"R038","215TH STREET                  ",2020-03-28,"13",3785,9930
"R039","225TH STREET                  ",2020-03-28,"13",13954,30824
"R040","231ST STREET                  ",2020-03-28,"13",22305,53067
"R041","BOWLING GREEN & BATTERY PL    ",2020-03-28,"13",28053,119070
"R042","BOWLING GREEN & BROADWAY      ",2020-03-28,"13",5547,22579
"R043","WALL STREET                   ",2020-03-28,"13",22522,105255
"R044","BROOKLYN BRIDGE               ",2020-03-28,"13",44505,171406
"R045","42ND STREET & GRAND CENTRAL   ",2020-03-28,"13",16442,142611
"R046","42ND STREET & GRAND CENTRAL   ",2020-03-28,"13",75294,437114
"R047","42ND STREET & GRAND CENTRAL   ",2020-03-28,"13",56727,238669
"R048","42ND STREET & 3RD AVENUE      ",2020-03-28,"13",17801,73843
"R049","51ST STREET & LEXINGTON AVE   ",2020-03-28,"13",25368,119925
"R050","59TH STREET & LEXINGTON AVE   ",2020-03-28,"13",26564,129621
"R051","59TH STREET & LEXINGTON AVE   ",2020-03-28,"13",59059,169807
"R052","WOODLAWN ROAD                 ",2020-03-28,"13",13872,28448
"R053","149TH STREET & 3RD AVENUE     ",2020-03-28,"13",61663,115504
"R054","FIFTH AVENUE & 42ND STREET    ",2020-03-28,"13",17856,73416
"R055","MAIN STREET                   ",2020-03-28,"13",104548,278226
"R056","NEVINS STREET                 ",2020-03-28,"13",21515,58233
"R057","BARCLAYS CENTER               ",2020-03-28,"13",83978,255319
"R058","BERGEN STREET                 ",2020-03-28,"13",5564,19332
"R059","GRAND ARMY PLAZA              ",2020-03-28,"13",10715,38446
"R060","EASTERN PARKWAY               ",2020-03-28,"13",6409,26979
"R061","NOSTRAND AVENUE               ",2020-03-28,"13",8873,23434
"R062","UTICA AVENUE                  ",2020-03-28,"13",67270,135079
"R063","SUTTER AVENUE                 ",2020-03-28,"13",19681,37950
"R064","SARATOGA AVENUE               ",2020-03-28,"13",15959,29969
"R065","ROCKAWAY AVENUE               ",2020-03-28,"13",14741,27069
"R066","JUNIUS STREET                 ",2020-03-28,"13",6860,12815
"R067","PENNSYLVANIA AVENUE           ",2020-03-28,"13",13780,25001
"R068","VAN SICLEN AVENUE             ",2020-03-28,"13",8492,15373
"R069","NEW LOTS AVENUE               ",2020-03-28,"13",16304,28624
"R070","ST GEORGE TERMINAL            ",2020-03-28,"13",15484,55688
"R072","34TH STREET - HUDSON YARDS    ",2020-03-28,"13",26953,127405
"R079","FIFTH AVENUE & 60TH STREET    ",2020-03-28,"13",22797,88685
"R080","57TH STREET & 7TH AVENUE      ",2020-03-28,"13",50161,215226
"R081","49TH STREET & 7TH AVENUE      ",2020-03-28,"13",29801,149063
"R082","28TH STREET & BROADWAY        ",2020-03-28,"13",15170,73291
"R083","23RD STREET & 5TH AVENUE      ",2020-03-28,"13",22979,130889
"R084","59TH STREET/COLUMBUS CIRCLE   ",2020-03-28,"13",103938,436879
"R085","8TH STREET & BROADWAY         ",2020-03-28,"13",17370,88971
"R086","PRINCE STREET & BROADWAY      ",2020-03-28,"13",12365,70941
"R087","CITY HALL                     ",2020-03-28,"13",7975,32337
"R088","CORTLANDT STREET              ",2020-03-28,"13",18613,114764
"R089","JAY ST-METROTECH              ",2020-03-28,"13",5000,21937
"R090","39TH AVENUE & 31ST STREET     ",2020-03-28,"13",6722,11316
"R091","36TH AVENUE & 31ST STREET     ",2020-03-28,"13",15090,30716
"R092","BROADWAY & 31ST STREET        ",2020-03-28,"13",22391,49767
"R093","30TH AVENUE & 31ST STREET     ",2020-03-28,"13",27766,91436
"R094","ASTORIA BLVD & 31ST STREET    ",2020-03-28,"13",16025,108
"R095","DITMARS BLVD & 31ST STREET    ",2020-03-28,"13",30556,89494
"R096","82ND STREET-JACKSON HEIGHTS   ",2020-03-28,"13",43084,82136
"R097","JUNCTION BLVD-ROOSEVELT AVE   ",2020-03-28,"13",73081,136457
"R098","CHURCH AVENUE                 ",2020-03-28,"13",40884,95013
"R099","DEKALB AVENUE                 ",2020-03-28,"13",36020,129375
"R100","METROPOLITAN AVENUE           ",2020-03-28,"13",8456,17603
"R101","145TH STREET                  ",2020-03-28,"13",52308,141354
"R102","125TH STREET                  ",2020-03-28,"13",64706,165450
"R103","BROADWAY-EAST NEW YORK        ",2020-03-28,"13",23627,47616
"R104","167TH ST-GRAND CONCOURSE      ",2020-03-28,"13",29413,51211
"R105","14TH STREET & 7TH AVENUE      ",2020-03-28,"13",38731,143023
"R106","CASTLE HILL AVENUE            ",2020-03-28,"13",18115,35851
"R107","WESTCHESTER SQUARE            ",2020-03-28,"13",14672,30189
"R108","BOROUGH HALL - COURT STREET   ",2020-03-28,"13",48547,188442
"R109","CHURCH AVENUE & NOSTRAND AV   ",2020-03-28,"13",26614,56695
"R110","FLATBUSH AVE & NOSTRAND AV    ",2020-03-28,"13",40915,99539
"R111","23RD STREET & 8TH AVENUE      ",2020-03-28,"13",23085,137914
"R112","FORDHAM RD/GRAND CONCOURSE    ",2020-03-28,"13",34855,64179
"R113","SEVENTH AVENUE & WEST 53RD    ",2020-03-28,"13",21160,109540
"R114","PARSONS BLVD & HILLSIDE AV    ",2020-03-28,"13",17548,36067
"R115","169TH STREET & HILLSIDE AVE   ",2020-03-28,"13",19724,44829
"R116","50TH STREET & 7TH AVENUE      ",2020-03-28,"13",28829,148288
"R117","242ND STREET & BROADWAY       ",2020-03-28,"13",12752,31645
"R118","CANAL STREET                  ",2020-03-28,"13",20211,74959
"R119","FORDHAM ROAD & JEROME AVE     ",2020-03-28,"13",31272,52310
"R120","MORRISON AVE & WESTCHESTER    ",2020-03-28,"13",21204,34568
"R121","QUEENSBORO PLAZA              ",2020-03-28,"13",29499,108615
"R122","90TH STREET/ELMHURST AVENUE   ",2020-03-28,"13",52392,95603
"R123","FRANKLIN AVE/EASTERN PKWY     ",2020-03-28,"13",27235,85303
"R124","KINGSTON AVE/EASTERN PKWY     ",2020-03-28,"13",10221,26890
"R125","BROAD STREET & WALL STREET    ",2020-03-28,"13",11527,42299
"R126","175TH STREET/FT WASHINGTON    ",2020-03-28,"13",27678,77247
"R127","JAY ST-METROTECH              ",2020-03-28,"13",54488,205909
"R128","SUTPHIN BLVD-HILLSIDE AVE     ",2020-03-28,"13",10770,24842
"R129","BERGEN STREET-SMITH STREET    ",2020-03-28,"13",16960,69460
"R130","KINGS HIGHWAY-MCDONALD AVE    ",2020-03-28,"13",10173,17866
"R131","23RD STREET-PARK AVE SOUTH    ",2020-03-28,"13",31050,126918
"R132","125TH STREET-LEXINGTON AVE    ",2020-03-28,"13",68810,146485
"R133","MOSHOLU PARKWAY-JEROME AVE    ",2020-03-28,"13",24788,45447
"R134","HUNTERS PT AVE-49TH AVE       ",2020-03-28,"13",12435,35120
"R135","NEWKIRK AVE-NOSTRAND AVE      ",2020-03-28,"13",21264,41462
"R136","SHEEPSHEAD BAY ROAD           ",2020-03-28,"13",31229,75075
"R137","MYRTLE AVE-GATES AVENUE       ",2020-03-28,"13",47580,106058
"R138","WEST 4TH ST-WASHINGTON SQ     ",2020-03-28,"13",53596,254260
"R139","CANAL STREET-LISPENARD ST     ",2020-03-28,"13",21428,112878
"R140","QUEENS PLAZA-JACKSON AVE      ",2020-03-28,"13",22773,82151
"R141","71ST AVE-CONTINENTAL AVE      ",2020-03-28,"13",47871,138188
"R142","ESSEX ST-DELANCEY ST          ",2020-03-28,"13",52419,167775
"R143","28TH STREET-PARK AVE SOUTH    ",2020-03-28,"13",32542,107693
"R144","96TH STREET-LEXINGTON AVE     ",2020-03-28,"13",33153,96293
"R145","241ST ST-WHITE PLAINS RD      ",2020-03-28,"13",14882,25928
"R146","HUNTS PT AVE-SOUTHERN BLVD    ",2020-03-28,"13",32455,53125
"R147","61ST STREET-ROOSEVELT AVE     ",2020-03-28,"13",42993,99460
"R148","PARKSIDE AVE-OCEAN AVE        ",2020-03-28,"13",15204,37630
"R149","NEWKIRK PLAZA                 ",2020-03-28,"13",24629,61015
"R150","AVENUE U-EAST 16TH STREET     ",2020-03-28,"13",17920,41077
"R151","STILLWELL AVE-CONEY ISLAND    ",2020-03-28,"13",31520,59144
"R152","ROCKAWAY PKWY-GLENWOOD RD     ",2020-03-28,"13",27880,54036
"R153","UTICA AVE-STUYVESANT AVE      ",2020-03-28,"13",36163,89609
"R154","TREMONT AVE-179TH ST          ",2020-03-28,"13",28485,53381
"R155","KINGSBRIDGE RD-196TH ST       ",2020-03-28,"13",24420,45641
"R156","BEDFORD PARK BLVD-203RD ST    ",2020-03-28,"13",18587,40140
"R157","205TH ST-BAINBRIDGE AVE       ",2020-03-28,"13",24653,46914
"R158","UNION TURNPIKE-KEW GARDENS    ",2020-03-28,"13",45536,113315
"R159","116TH STREET-COLUMBIA         ",2020-03-28,"13",13033,70074
"R160","ASTOR PLACE-4 AVENUE          ",2020-03-28,"13",20445,107459
"R161","KINGSBRIDGE RD-JEROME AVE     ",2020-03-28,"13",26476,49531
"R162","ELDER AVE-WESTCHESTER AVE     ",2020-03-28,"13",23229,38748
"R163","14TH STREET-6TH AVENUE        ",2020-03-28,"13",33206,139919
"R164","66TH STREET-BROADWAY          ",2020-03-28,"13",23702,131247
"R165","TOMPKINSVILLE                 ",2020-03-28,"13",2034,3837
"R166","79TH STREET-BROADWAY          ",2020-03-28,"13",20626,84529
"R167","86TH STREET-BROADWAY          ",2020-03-28,"13",27788,102682
"R168","96TH STREET-BROADWAY          ",2020-03-28,"13",65014,214562
"R169","137TH STREET-BROADWAY         ",2020-03-28,"13",28979,80894
"R170","14TH STREET-UNION SQUARE      ",2020-03-28,"13",147218,592822
"R171","7TH AVENUE-PARK PLACE         ",2020-03-28,"13",11906,62498
"R172","BRIGHTON BEACH-CONEY ISLAND   ",2020-03-28,"13",32588,68843
"R173","207TH STREET-BROADWAY         ",2020-03-28,"13",20614,53294
"R174","181ST STREET-FT WASH AVE      ",2020-03-28,"13",19575,64622
"R175","8TH AVENUE-14TH STREET        ",2020-03-28,"13",42773,264129
"R176","33RD STREET-PARK AVENUE       ",2020-03-28,"13",42907,155841
"R177","68TH STREET-HUNTER COLLEGE    ",2020-03-28,"13",33115,137756
"R178","77TH STREET-LEXINGTON AVE     ",2020-03-28,"13",43635,145820
"R179","86TH STREET-LEXINGTON AVE     ",2020-03-28,"13",72807,240596
"R180","103RD STREET-LEXINGTON AVE    ",2020-03-28,"13",33165,78878
"R181","110TH STREET-LEXINGTON AVE    ",2020-03-28,"13",27694,64233
"R182","116TH STREET-LEXINGTON AVE    ",2020-03-28,"13",38136,84657
"R183","BEDFORD PARK BLVD-JEROME AV   ",2020-03-28,"13",11531,29438
"R184","CORTELYOU RD-EAST 16TH ST     ",2020-03-28,"13",14567,39631
"R185","DYCKMAN STREET-BROADWAY       ",2020-03-28,"13",15522,41772
"R186","86TH ST-CENTRAL PARK WEST     ",2020-03-28,"13",13952,52473
"R187","81ST STREET-MUSEUM            ",2020-03-28,"13",11691,78310
"R188","50TH STREET-8TH AVENUE        ",2020-03-28,"13",19005,129644
"R189","CHRISTOPHER ST-SHERIDAN SQ    ",2020-03-28,"13",12540,57768
"R190","23RD STREET-7TH AVENUE        ",2020-03-28,"13",22773,85516
"R191","103RD STREET-BROADWAY         ",2020-03-28,"13",22316,75347
"R192","110TH STREET-BROADWAY         ",2020-03-28,"13",20462,69197
"R193","157TH STREET-BROADWAY         ",2020-03-28,"13",27116,73954
"R194","BLEECKER ST-LAFAYETTE ST      ",2020-03-28,"13",21619,97582
"R195","161ST STREET-YANKEE STADIUM   ",2020-03-28,"13",61258,123964
"R196","PROSPECT PARK-EMPIRE BLVD     ",2020-03-28,"13",21141,60008
"R197","36TH STREET-4TH AVENUE        ",2020-03-28,"13",33216,77700
"R198","NOSTRAND AVE-FULTON ST        ",2020-03-28,"13",36192,100568
"R199","KINGSTON AVE-THROOP AVE       ",2020-03-28,"13",12581,39453
"R200","EUCLID AVE-PITKIN AVE         ",2020-03-28,"13",30142,55881
"R201","WOODHAVEN BLVD-QUEENS BLVD    ",2020-03-28,"13",44840,109329
"R202","63RD DRIVE-REGO PARK          ",2020-03-28,"13",37070,90940
"R203","23RD STREET-6TH AVENUE        ",2020-03-28,"13",24071,86362
"R204","CHURCH AVE-MCDONALD AVE       ",2020-03-28,"13",23960,65931
"R205","149TH ST-GRAND CONCOURSE      ",2020-03-28,"13",33933,74710
"R206","125TH STREET-LENOX AVENUE     ",2020-03-28,"13",33936,86489
"R207","135TH STREET-LENOX AVENUE     ",2020-03-28,"13",36789,84760
"R208","103RD ST-ROOSEVELT AVE        ",2020-03-28,"13",70319,110033
"R209","STERLING ST-NOSTRAND AVE      ",2020-03-28,"13",13575,34779
"R210","BEVERLY RD-NOSTRAND AVE       ",2020-03-28,"13",12507,25237
"R211","KINGS HIGHWAY-EAST 16TH ST    ",2020-03-28,"13",43632,100923
"R212","59TH STREET-4TH AVENUE        ",2020-03-28,"13",30673,67755
"R213","BAY RIDGE AVE-4TH AVENUE      ",2020-03-28,"13",17934,44033
"R214","77TH STREET-4TH AVENUE        ",2020-03-28,"13",11423,31812
"R215","86TH STREET-4TH AVENUE        ",2020-03-28,"13",22279,56035
"R216","BAY RIDGE - 95TH STREET       ",2020-03-28,"13",12920,33048
"R217","HOYT ST-SCHERMERHORN ST       ",2020-03-28,"13",22988,66693
"R218","ELMHURST AVE-BROADWAY         ",2020-03-28,"13",34810,79241
"R219","67TH AVENUE-QUEENS BLVD       ",2020-03-28,"13",17221,53901
"R220","CARROLL ST-PRESIDENT ST       ",2020-03-28,"13",14648,69855
"R221","167TH STREET-RIVER AVENUE     ",2020-03-28,"13",28740,47282
"R222","177TH STREET-PARKCHESTER      ",2020-03-28,"13",41621,86120
"R223","46TH ST-BLISS ST              ",2020-03-28,"13",33851,73789
"R224","CLARK STREET-HENRY STREET     ",2020-03-28,"13",7266,33643
"R225","HOYT STREET-HOYT STREET       ",2020-03-28,"13",9803,27275
"R226","GUN HILL ROAD-SEYMOUR         ",2020-03-28,"13",6454,26697
"R227","RECTOR STREET-CHURCH STREET   ",2020-03-28,"13",7310,34468
"R228","AVENUE J-EAST 16TH STREET     ",2020-03-28,"13",14826,32806
"R229","AVENUE M-EAST 16TH STREET     ",2020-03-28,"13",13832,32785
"R230","NECK ROAD-EAST 16TH STREET    ",2020-03-28,"13",10986,26924
"R231","UNION STREET-4TH AVENUE       ",2020-03-28,"13",10774,39373
"R232","45TH STREET-4TH AVENUE        ",2020-03-28,"13",20814,48234
"R233","53RD STREET-4TH AVENUE        ",2020-03-28,"13",26905,54667
"R234","50TH STREET-NEW UTRECHT AVE   ",2020-03-28,"13",9853,17797
"R235","BEDFORD AVE-NORTH 7TH ST      ",2020-03-28,"13",29467,124387
"R236","DEKALB AVE-WYCKOFF AVE        ",2020-03-28,"13",24304,54305
"R237","182ND STREET-183RD STREET     ",2020-03-28,"13",16931,29147
"R238","STEINWAY ST-BROADWAY          ",2020-03-28,"13",30102,100249
"R239","GREENPOINT AVE                ",2020-03-28,"13",19820,56760
"R240","GRAND ST-CHRISTIE ST          ",2020-03-28,"13",46606,153594
"R241","15TH ST-PROSPECT PARK WEST    ",2020-03-28,"13",8785,37779
"R242","18TH AVE-MCDONALD AVE         ",2020-03-28,"13",11260,17861
"R243","170TH STREET-JEROME AVENUE    ",2020-03-28,"13",27652,43904
"R244","BURNSIDE AVE-JEROME AVE       ",2020-03-28,"13",29087,55230
"R245","ST LAWRENCE AVE-WEST AVE      ",2020-03-28,"13",13879,24091
"R246","PROSPECT AVENUE-4TH AVENUE    ",2020-03-28,"13",10060,32349
"R247","55TH ST-NEW UTRECHT AVE       ",2020-03-28,"13",6767,12537
"R248","1ST AVENUE-14TH STREET        ",2020-03-28,"13",23607,95156
"R249","GRAHAM AVE-METROPOLITAN AVE   ",2020-03-28,"13",13244,45757
"R250","GRAND ST-BUSHWICK AVE         ",2020-03-28,"13",11690,29702
"R251","96TH ST-CENTRAL PARK WEST     ",2020-03-28,"13",16318,48909
"R252","HIGH ST-CADMAN PLAZA WEST     ",2020-03-28,"13",12356,59074
"R253","174TH-175TH ST-GRAND CONCOU   ",2020-03-28,"13",16739,28298
"R254","GRAND AVE-QUEENS BOULEVARD    ",2020-03-28,"13",42955,104101
"R255","VAN WYCK BLVD-MAIN STREET     ",2020-03-28,"13",10572,29191
"R256","NASSAU AVE-MANHATTAN AVE      ",2020-03-28,"13",16999,61816
"R257","EAST BROADWAY-MADISON ST      ",2020-03-28,"13",26438,88033
"R258","4TH AVENUE-9TH STREET         ",2020-03-28,"13",22513,75469
"R259","ROOSEVELT ISLAND              ",2020-03-28,"13",13186,44446
"R260","181ST STREET-ST NICHOLAS AV   ",2020-03-28,"13",38557,68461
"R261","40TH STREET-LOWERY STREET     ",2020-03-28,"13",21332,57539
"R262","BEVERLEY ROAD -EAST 15TH ST   ",2020-03-28,"13",7566,20288
"R263","AVENUE H-EAST 16TH STREET     ",2020-03-28,"13",6828,21500
"R264","OCEAN PKWAY-BRIGHTON BCH AV   ",2020-03-28,"13",7500,19496
"R265","MONTROSE AVENUE               ",2020-03-28,"13",11965,32959
"R266","HALSEY STREET-WYCKOFF AVE     ",2020-03-28,"13",17404,37388
