"REMOTE","STATION"
"R156","BEDFORD PARK BLVD-203RD ST    "
"R157","205TH ST-BAINBRIDGE AVE       "
"R158","UNION TURNPIKE-KEW GARDENS    "
"R159","116TH STREET-COLUMBIA         "
"R160","ASTOR PLACE-4 AVENUE          "
"R161","KINGSBRIDGE RD-JEROME AVE     "
"R162","ELDER AVE-WESTCHESTER AVE     "
"R163","14TH STREET-6TH AVENUE        "
"R164","66TH STREET-BROADWAY          "
"R165","TOMPKINSVILLE                 "
"R166","79TH STREET-BROADWAY          "
"R167","86TH STREET-BROADWAY          "
"R168","96TH STREET-BROADWAY          "
"R169","137TH STREET-BROADWAY         "
"R170","14TH STREET-UNION SQUARE      "
"R171","7TH AVENUE-PARK PLACE         "
"R172","BRIGHTON BEACH-CONEY ISLAND   "
"R173","207TH STREET-BROADWAY         "
"R174","181ST STREET-FT WASH AVE      "
"R175","8TH AVENUE-14TH STREET        "
"R176","33RD STREET-PARK AVENUE       "
"R177","68TH STREET-HUNTER COLLEGE    "
"R178","77TH STREET-LEXINGTON AVE     "
"R179","86TH STREET-LEXINGTON AVE     "
"R180","103RD STREET-LEXINGTON AVE    "
"R181","110TH STREET-LEXINGTON AVE    "
"R182","116TH STREET-LEXINGTON AVE    "
"R183","BEDFORD PARK BLVD-JEROME AV   "
"R184","CORTELYOU RD-EAST 16TH ST     "
"R185","DYCKMAN STREET-BROADWAY       "
"R186","86TH ST-CENTRAL PARK WEST     "
"R187","81ST STREET-MUSEUM            "
"R188","50TH STREET-8TH AVENUE        "
"R189","CHRISTOPHER ST-SHERIDAN SQ    "
"R190","23RD STREET-7TH AVENUE        "
"R191","103RD STREET-BROADWAY         "
"R192","110TH STREET-BROADWAY         "
"R193","157TH STREET-BROADWAY         "
"R194","BLEECKER ST-LAFAYETTE ST      "
"R195","161ST STREET-YANKEE STADIUM   "
"R196","PROSPECT PARK-EMPIRE BLVD     "
"R197","36TH STREET-4TH AVENUE        "
"R198","NOSTRAND AVE-FULTON ST        "
"R199","KINGSTON AVE-THROOP AVE       "
"R200","EUCLID AVE-PITKIN AVE         "
"R201","WOODHAVEN BLVD-QUEENS BLVD    "
"R202","63RD DRIVE-REGO PARK          "
"R203","23RD STREET-6TH AVENUE        "
"R204","CHURCH AVE-MCDONALD AVE       "
"R205","149TH ST-GRAND CONCOURSE      "
"R206","125TH STREET-LENOX AVENUE     "
"R207","135TH STREET-LENOX AVENUE     "
"R208","103RD ST-ROOSEVELT AVE        "
"R209","STERLING ST-NOSTRAND AVE      "
"R210","BEVERLY RD-NOSTRAND AVE       "
"R211","KINGS HIGHWAY-EAST 16TH ST    "
"R212","59TH STREET-4TH AVENUE        "
"R213","BAY RIDGE AVE-4TH AVENUE      "
"R214","77TH STREET-4TH AVENUE        "
"R215","86TH STREET-4TH AVENUE        "
"R216","BAY RIDGE - 95TH STREET       "
"R217","HOYT ST-SCHERMERHORN ST       "
"R218","ELMHURST AVE-BROADWAY         "
"R219","67TH AVENUE-QUEENS BLVD       "
"R220","CARROLL ST-PRESIDENT ST       "
"R221","167TH STREET-RIVER AVENUE     "
